squad,League,player,nationality,position,age,birth_year,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,Season
Dortmund,Bundesliga,Marwin Hitz,ch SUI,GK,33-104,1987,2.0,2.0,180.0,0.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7,0.13,0.7,0.33,14.0,25.0,56.0,61.0,11.0,31.1,31.5,10.0,60.0,49.4,9.0,3.0,33.3,1.0,0.5,16.0,2020/2021
Dortmund,Bundesliga,Roman Bürki,ch SUI,GK,28,1990,31.0,31.0,2770.0,40.0,1.3,93.0,59.0,0.602,19.0,5.0,7.0,13.0,41.9,3.0,3.0,0.0,0.0,30.8,0.0,8.0,3.0,34.7,0.36,-2.3,-0.07,116.0,320.0,36.3,843.0,181.0,29.8,32.8,204.0,33.8,34.3,221.0,15.0,6.8,27.0,0.88,14.8,2019/2020
Dortmund,Bundesliga,Marwin Hitz,ch SUI,GK,31,1987,4.0,3.0,290.0,1.0,0.31,7.0,6.0,0.857,2.0,1.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,2.7,0.39,1.7,0.53,9.0,24.0,37.5,75.0,14.0,20.0,31.0,25.0,36.0,39.9,21.0,2.0,9.5,4.0,1.24,17.5,2019/2020
Dortmund,Bundesliga,Roman Bürki,ch SUI,GK,27,1990,32.0,32.0,2880.0,40.0,1.25,125.0,88.0,0.7120000000000001,21.0,7.0,4.0,10.0,31.3,4.0,4.0,0.0,0.0,32.0,1.0,7.0,0.0,37.9,0.28,-2.1,-0.07,167.0,474.0,35.2,842.0,169.0,38.5,36.5,224.0,67.0,51.6,276.0,16.0,5.8,25.0,0.78,15.6,2018/2019
Dortmund,Bundesliga,Marwin Hitz,ch SUI,GK,30,1987,2.0,2.0,180.0,4.0,2.0,5.0,1.0,0.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.9,0.58,-1.1,-0.56,7.0,20.0,35.0,52.0,6.0,26.9,31.8,13.0,46.2,45.9,22.0,2.0,9.1,1.0,0.5,14.0,2018/2019
Dortmund,Bundesliga,Roman Bürki,ch SUI,GK,26,1990,33.0,33.0,2969.0,43.0,1.3,140.0,100.0,0.7070000000000001,15.0,9.0,9.0,12.0,36.4,2.0,2.0,0.0,0.0,33.0,1.0,3.0,0.0,47.9,0.33,4.9,0.15,184.0,517.0,35.6,1027.0,169.0,35.7,36.1,219.0,68.5,55.2,268.0,27.0,10.1,38.0,1.15,17.5,2017/2018
Dortmund,Bundesliga,Roman Weidenfeller,de GER,GK,36,1980,2.0,1.0,91.0,4.0,3.96,7.0,2.0,0.429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.4,0.49,-0.6,-0.59,4.0,26.0,15.4,34.0,1.0,55.9,40.3,8.0,87.5,60.8,7.0,0.0,0.0,1.0,1.0,17.4,2017/2018
Bayern Munich,Bundesliga,Manuel Neuer,de GER,GK,34-279,1986,13.0,13.0,1170.0,19.0,1.46,54.0,35.0,0.667,9.0,3.0,1.0,2.0,15.4,1.0,1.0,0.0,0.0,13.0,0.0,3.0,0.0,22.3,0.4,3.3,0.25,104.0,167.0,62.3,481.0,82.0,29.9,31.8,76.0,30.3,32.6,99.0,2.0,2.0,17.0,1.31,16.3,2020/2021
Bayern Munich,Bundesliga,Manuel Neuer,de GER,GK,33,1986,33.0,33.0,2970.0,31.0,0.94,111.0,84.0,0.748,25.0,4.0,4.0,15.0,45.5,4.0,3.0,1.0,0.0,33.0,0.0,6.0,1.0,32.5,0.27,2.5,0.08,218.0,370.0,58.9,1267.0,202.0,26.0,30.1,179.0,22.3,29.0,195.0,13.0,6.7,54.0,1.64,19.3,2019/2020
Bayern Munich,Bundesliga,Sven Ulreich,de GER,GK,30,1988,2.0,2.0,90.0,1.0,1.0,3.0,2.0,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4,0.5,0.4,0.44,7.0,13.0,53.8,42.0,5.0,26.2,28.1,10.0,20.0,25.7,10.0,1.0,10.0,1.0,1.0,12.0,2019/2020
Bayern Munich,Bundesliga,Manuel Neuer,de GER,GK,32,1986,26.0,26.0,2303.0,23.0,0.9,51.0,32.0,0.608,20.0,3.0,3.0,10.0,38.5,3.0,3.0,0.0,0.0,25.6,0.0,2.0,1.0,16.4,0.28,-5.6,-0.22,132.0,271.0,48.7,796.0,109.0,30.9,32.5,120.0,20.8,33.1,127.0,9.0,7.1,30.0,1.17,18.1,2018/2019
